Antal nya cancerfall per 100 000 personer (crude rate), Ålder: 45-85+, Män, Diagnos:177 Prostata (blåshalskörtel), oavsett tumörtyp
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2009;Örebro län;11,08;46,90;221,32;530,50;848,97;1027,86;904,01;945,78;1004,65;495,69
2009;Västmanlands län;23,20;186,86;286,18;742,14;1011,64;1262,01;1267,71;1228,25;972,38;641,98
2009;Dalarnas län;32,91;96,41;231,57;517,12;884,90;1066,62;1220,40;721,42;887,37;524,92
2009;Gävleborgs län;10,73;119,84;311,88;504,91;772,11;1052,38;960,46;947,08;449,19;494,12
2009;Västernorrlands län;12,82;72,43;327,64;476,95;934,14;1083,35;1037,44;950,57;946,24;541,25
2009;Jämtlands län;72,45;184,67;311,21;778,21;660,50;1120,55;808,81;1070,47;511,70;545,80
2009;Västerbottens län;61,83;131,16;341,78;595,17;953,37;1189,24;1342,93;1084,46;1005,71;607,88
2009;Norrbottens län;23,25;68,21;196,93;409,38;650,30;868,38;754,64;490,84;502,13;380,32
2008;Riket;26,81;98,27;263,31;530,19;776,77;893,09;908,31;935,26;766,16;463,23
2008;Stockholms län;37,29;131,99;294,15;538,19;783,72;1040,05;770,83;869,87;657,77;439,27
2008;Uppsala län;39,57;98,91;254,18;479,57;832,36;745,13;577,90;784,44;554,02;402,12
2008;Södermanlands län;0,00;70,14;262,12;463,26;653,00;738,27;905,19;986,32;631,45;424,35
2008;Östergötlands län;7,41;60,60;147,13;425,74;653,08;798,95;911,45;1105,43;1391,21;440,10
2008;Jönköpings län;37,06;103,27;273,15;657,16;808,89;915,30;953,11;1360,21;936,22;537,29
2008;Kronobergs län;87,58;86,86;357,61;1020,01;1688,30;1640,03;1887,42;1265,02;791,35;853,26
2008;Kalmar län;13,20;153,31;325,58;624,27;563,22;1147,80;868,24;875,34;506,13;498,01
2008;Gotlands län;0,00;0,00;186,78;459,45;586,85;1516,43;438,84;439,88;0,00;369,76
2008;Blekinge län;0,00;105,78;316,67;422,31;875,52;880,81;767,26;758,53;718,95;468,63
2008;Skåne län;38,81;124,01;283,18;565,83;748,82;835,15;919,49;793,71;581,42;458,46
2008;Hallands län;52,41;169,44;250,60;570,59;741,78;961,79;853,02;954,03;460,18;477,68
2008;Västra Götalands län;25,48;75,01;296,29;586,71;822,79;802,55;944,10;1013,34;926,47;482,48
2008;Värmlands län;11,15;108,74;145,15;421,28;574,52;503,61;769,23;822,14;739,23;365,78
2008;Örebro län;22,72;92,84;161,59;524,70;841,77;726,51;702,99;707,04;1172,24;441,45
2008;Västmanlands län;11,87;74,99;313,97;644,19;1051,95;841,35;817,03;860,73;1098,90;525,86
2008;Dalarnas län;11,12;73,68;293,92;411,64;866,51;899,98;1034,98;938,97;657,44;475,10
2008;Gävleborgs län;0,00;86,23;121,72;256,35;484,23;697,21;808,41;942,22;688,34;342,56
2008;Västernorrlands län;0,00;35,77;226,59;477,73;628,30;1025,83;1252,52;917,14;698,69;475,19
2008;Jämtlands län;24,39;45,17;260,08;473,35;569,72;628,81;1327,73;1117,32;582,67;446,72
2008;Västerbottens län;12,46;59,30;241,95;467,58;656,87;946,40;961,89;851,62;1086,70;452,53
2008;Norrbottens län;11,59;44,89;226,07;391,22;910,43;1083,78;993,31;1160,48;523,15;479,60
2007;Riket;18,14;99,66;277,00;529,32;848,54;931,40;950,94;972,16;734,76;476,19
2007;Stockholms län;15,32;97,23;335,87;631,35;932,63;885,40;865,68;833,36;591,48;455,06
2007;Uppsala län;0,00;69,65;331,58;466,53;630,56;763,44;624,25;652,85;325,87;363,13
2007;Södermanlands län;34,81;81,82;169,61;471,91;857,83;853,35;967,78;977,92;783,12;460,19
2007;Östergötlands län;7,47;45,50;209,33;437,79;829,59;944,25;990,80;1191,09;1345,11;488,21
2007;Jönköpings län;28,13;122,38;285,54;579,76;1139,93;1095,31;1000,00;1146,48;540,46;551,27
2007;Kronobergs län;70,86;102,77;365,22;741,04;1222,63;1564,50;1539,22;1596,97;813,89;735,77
2007;Kalmar län;26,78;100,41;365,37;636,15;1032,02;983,70;958,95;869,15;906,05;564,16
2007;Gotlands län;0,00;0,00;323,33;562,46;642,47;1295,34;1097,09;879,12;751,88;489,65
2007;Blekinge län;0,00;146,92;306,81;509,98;848,46;870,32;958,00;1073,62;1477,01;545,19
2007;Skåne län;21,20;121,40;324,99;505,87;726,04;852,96;746,29;799,88;609,19;437,97
2007;Hallands län;31,78;64,07;276,99;583,12;810,26;1165,81;811,94;1301,71;918,11;523,99
2007;Västra Götalands län;17,88;127,99;270,46;550,86;957,53;1015,94;1035,00;1114,61;769,23;516,00
2007;Värmlands län;11,17;85,78;172,23;321,58;603,81;614,07;880,11;881,91;611,50;368,36
2007;Örebro län;11,56;79,85;293,78;672,29;911,26;934,58;952,49;934,58;964,69;526,24
2007;Västmanlands län;24,25;188,23;220,71;627,60;820,22;1163,64;1118,57;1137,93;1041,91;557,80
2007;Dalarnas län;0,00;61,91;199,81;463,27;879,06;899,65;871,10;816,99;887,15;451,98
2007;Gävleborgs län;11,10;31,93;117,70;357,75;612,19;743,87;844,39;1240,18;432,47;379,30
2007;Västernorrlands län;38,60;82,71;276,24;398,62;770,88;971,05;1247,91;972,70;761,31;495,78
2007;Jämtlands län;24,27;110,72;382,65;439,24;827,46;1009,16;1420,96;518,73;509,09;499,63
2007;Västerbottens län;12,39;70,46;135,65;470,92;717,08;785,39;967,35;1052,98;637,25;419,33
2007;Norrbottens län;11,47;110,74;211,16;259,78;543,88;777,60;1175,45;597,81;486,49;372,62
2006;Riket;21,24;91,87;299,12;586,40;832,56;975,96;1018,62;1015,49;874,08;499,58
2006;Stockholms län;34,28;128,17;373,72;709,42;955,59;1106,85;1043,98;956,15;706,83;518,98
2006;Uppsala län;10,02;80,33;329,73;481,60;643,91;861,89;988,31;454,91;847,64;408,58
2006;Södermanlands län;0,00;23,27;317,98;450,73;635,93;1030,04;1382,10;1166,64;948,51;498,41
