Dödsorsaksstatistik, Antal döda per 100 000, C61 Malign tumör i prostata, Ålder: 45-85+, Män
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2010;Örebro län;­­;­­;22,75;20,45;80,82;102,30;335,57;446,50;1107,22;123,05
2010;Västmanlands län;­­;­­;12,74;44,94;92,41;195,43;124,58;609,34;857,45;117,46
2010;Dalarnas län;­­;­­;20,54;46,14;87,92;79,25;347,44;697,45;914,32;135,02
2010;Gävleborgs län;­­;­­;10,62;46,95;98,50;95,09;350,59;634,83;1403,25;151,46
2010;Västernorrlands län;­­;­­;12,02;75,33;127,29;152,72;429,09;574,16;853,06;146,25
2010;Jämtlands län;­­;­­;­­;­­;49,10;285,51;316,74;480,05;1310,52;144,16
2010;Västerbottens län;­­;­­;­­;11,30;70,20;184,35;334,29;692,84;1159,94;138,17
2010;Norrbottens län;­­;­­;­­;21,09;25,32;134,36;276,77;801,92;1345,83;130,76
2009;Riket;1,29;2,71;10,98;29,33;74,08;155,46;305,37;552,75;1058,53;124,13
2009;Stockholms län;­­;­­;12,48;40,87;61,61;138,79;289,53;524,70;1103,38;105,47
2009;Uppsala län;­­;­­;10,00;44,95;72,08;269,01;265,73;712,09;1085,48;134,54
2009;Södermanlands län;­­;­­;33,94;49,51;110,02;154,71;275,23;649,88;904,05;132,62
2009;Östergötlands län;­­;­­;15,03;7,00;87,37;253,36;331,18;335,75;1065,99;126,21
2009;Jönköpings län;9,07;9,39;9,57;17,69;90,92;140,01;364,37;627,75;1260,02;154,17
2009;Kronobergs län;17,27;­­;­­;31,16;39,73;188,55;234,51;592,97;922,37;127,49
2009;Kalmar län;­­;13,01;­­;33,38;54,77;181,00;189,78;575,91;425,45;99,47
2009;Gotlands län;­­;­­;­­;­­;­­;80,06;­­;1034,74;540,05;81,87
2009;Blekinge län;­­;­­;20,29;­­;105,74;110,74;361,60;557,53;1424,87;152,09
2009;Skåne län;­­;10,75;13,46;25,30;62,08;138,06;284,40;479,40;1046,05;118,40
2009;Hallands län;10,20;­­;­­;48,96;60,05;278,94;326,26;375,56;855,43;125,89
2009;Västra Götalands län;1,91;­­;14,49;9,76;57,78;131,04;300,35;581,17;1148,93;123,55
2009;Värmlands län;­­;21,94;­­;48,68;164,07;180,85;280,79;897,59;867,68;161,03
2009;Örebro län;­­;­­;11,07;70,07;135,34;162,29;285,48;472,89;1041,86;137,60
2009;Västmanlands län;­­;­­;12,44;11,08;41,57;131,85;248,57;545,89;795,58;100,99
2009;Dalarnas län;­­;­­;­­;9,07;106,19;131,28;351,64;360,71;784,98;108,66
2009;Gävleborgs län;­­;­­;­­;55,08;83,15;145,71;306,53;473,54;1197,83;132,79
2009;Västernorrlands län;­­;­­;23,40;63,59;40,61;157,26;338,29;728,77;1290,32;154,14
2009;Jämtlands län;­­;­­;­­;20,48;105,68;144,59;539,20;713,65;1388,89;175,20
2009;Västerbottens län;­­;­­;­­;22,46;89,38;75,51;479,62;427,21;1234,29;130,26
2009;Norrbottens län;­­;­­;10,94;10,50;92,90;170,27;344,98;719,90;1205,12;136,92
2008;Riket;0,33;5,78;12,46;32,52;72,11;151,20;298,83;617,55;1103,87;129,10
2008;Stockholms län;­­;1,65;19,49;35,32;92,90;160,83;282,48;642,94;1047,84;114,22
2008;Uppsala län;­­;9,89;48,88;27,15;104,04;210,16;313,03;588,33;989,32;130,92
2008;Södermanlands län;­­;­­;10,92;69,00;52,24;162,06;394,57;668,15;1389,18;154,31
2008;Östergötlands län;­­;­­;22,07;34,90;65,31;99,87;345,72;896,86;1391,21;160,65
2008;Jönköpings län;­­;­­;­­;26,64;72,44;96,35;285,93;494,62;1345,82;136,09
2008;Kronobergs län;­­;17,37;­­;15,69;105,52;194,58;298,01;885,52;1529,94;184,28
2008;Kalmar län;­­;­­;­­;­­;28,88;169,35;281,59;518,72;1012,26;118,57
2008;Gotlands län;­­;­­;­­;­­;­­;168,49;219,42;439,88;729,93;83,01
2008;Blekinge län;­­;21,16;19,79;35,19;22,45;170,48;292,29;505,69;1633,99;156,21
2008;Skåne län;­­;8,09;10,59;30,31;75,87;125,72;295,14;694,50;1000,81;128,79
2008;Hallands län;­­;10,59;20,88;39,35;89,53;103,05;262,47;549,29;1061,95;128,12
2008;Västra Götalands län;1,96;12,16;4,06;25,59;69,46;146,90;263,47;541,61;1163,65;125,00
2008;Värmlands län;­­;10,87;20,74;19,59;40,08;167,87;315,58;712,52;850,12;132,00
2008;Örebro län;­­;­­;10,77;39,60;92,07;248,54;281,20;368,89;907,54;122,07
2008;Västmanlands län;­­;­­;­­;11,11;28,82;60,10;272,34;619,73;1053,11;105,90
2008;Dalarnas län;­­;­­;9,80;64,03;37,67;118,87;393,29;635,18;726,64;124,94
2008;Gävleborgs län;­­;­­;­­;45,78;101,94;315,41;161,68;554,25;956,02;132,35
2008;Västernorrlands län;­­;11,92;­­;10,62;142,80;89,98;402,59;474,38;1004,37;128,48
2008;Jämtlands län;­­;22,58;43,35;61,74;85,46;258,92;442,58;764,48;946,83;175,98
2008;Västerbottens län;­­;­­;11,52;57,02;­­;135,20;432,85;655,09;1228,44;140,50
2008;Norrbottens län;­­;­­;10,77;31,72;42,02;137,62;259,12;596,82;1412,50;122,45
2007;Riket;0,34;5,10;13,50;30,18;73,69;167,75;352,36;596,51;1035,40;129,91
2007;Stockholms län;1,53;5,03;17,40;35,64;56,52;178,57;351,08;528,62;1072,56;111,87
2007;Uppsala län;­­;­­;­­;27,99;70,06;261,18;336,13;783,42;1222,00;141,13
2007;Södermanlands län;­­;23,38;21,20;30,12;69,18;204,06;330,46;504,73;1131,17;134,15
2007;Östergötlands län;­­;­­;7,22;70,61;49,38;168,15;471,81;718,76;1054,99;153,21
2007;Jönköpings län;­­;9,41;­­;45,29;89,66;147,13;377,36;561,04;960,82;138,89
2007;Kronobergs län;­­;­­;­­;32,22;155,61;56,89;261,99;378,23;976,67;117,11
2007;Kalmar län;­­;12,55;11,79;22,72;15,18;173,59;374,23;643,81;945,44;135,99
2007;Gotlands län;­­;­­;46,19;­­;64,25;86,36;438,84;586,08;375,94;99,46
